,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,3.962457914,4.092247559164723,-0.12978964516472313,0.3343638453867228
sample_2,4.957531646,4.553830376331848,0.4037012696681517,0.31677263892645974
sample_3,3.761157692,3.6009118316718194,0.16024586032818045,0.33340349423613086
sample_4,5.135731947,4.919373152533106,0.21635879446689366,0.32597055949170295
sample_5,5.353029989,4.998065057509965,0.35496493149003516,0.3134668160199088
sample_6,1.470305703,1.097813533041763,0.37249216995823686,0.31803905179502134
sample_7,5.284255841,5.130932333590464,0.15332350740953604,0.34564776953865434
sample_8,-1.692795659,-1.479662610152114,-0.21313304884788598,0.338450681631242
sample_9,0.318350522,0.09849757137510018,0.21985295062489985,0.3285926312578738
sample_10,7.595665777,7.9899722326353695,-0.3943064556353697,0.33191255100888073
sample_11,7.47676631,7.472263857043053,0.004502452956947067,0.32986777941479795
sample_12,6.461214337,6.887472263792141,-0.4262579267921405,0.34653670314118534
sample_13,3.695214767,3.4835129574263117,0.21170180957368823,0.31957331488861423
sample_14,1.795978781,2.3927377205925255,-0.5967589395925255,0.343395025736054
sample_15,3.322269738,3.4689618024538613,-0.14669206445386118,0.32810202384350123
sample_16,6.667143385,6.471991887958961,0.1951514970410395,0.33039483318879537
sample_17,-0.075899232,-0.004116134694245321,-0.07178309730575468,0.3305466155561621
sample_18,-0.964156105,-1.2249700423645056,0.26081393736450553,0.34223298365472193
sample_19,5.215833992,4.962023601215266,0.253810390784734,0.3206964863830514
sample_20,5.902584574,5.457472130169345,0.44511244383065485,0.325828310439094
sample_21,3.252161534,3.5568680923696028,-0.3047065583696029,0.3368960098785592
sample_22,7.032785956,7.141762602131884,-0.10897664613188418,0.3286444696290118
sample_23,4.439717308,4.507557483758529,-0.06784017575852896,0.336071430826984
sample_24,2.675372141,2.5149960664205713,0.1603760745794287,0.3253093716648371
sample_25,2.996892206,3.146895859538682,-0.15000365353868172,0.3297567827181201
sample_26,-2.973772978,-2.6298378372656996,-0.3439351407343003,0.3413090479396876
sample_27,1.85785316,1.5221140550210825,0.33573910497891735,0.3229948813487434
sample_28,2.165138123,2.591171284048008,-0.4260331610480077,0.33583648969151975
sample_29,5.596916809,5.5563020588368115,0.04061475016318816,0.3228632209847657
sample_30,3.389837945,3.7983833768637525,-0.4085454318637525,0.33324945316144955
