,estimated_y
sample_1,0.2643070123436898
sample_2,0.20175487455106922
sample_3,0.6025109256414247
sample_4,-0.07741153050669092
sample_5,0.5495605550739588
sample_6,0.12543493236599834
sample_7,0.7294068262504876
sample_8,0.6642565324705247
sample_9,0.32591200589937064
sample_10,0.1984034486453865
sample_11,0.06743272173756945
sample_12,0.04934375682895273
sample_13,0.1630094594181298
sample_14,0.04090982019067091
sample_15,0.7049843894519497
sample_16,0.09953276776211345
sample_17,0.53864226369042
sample_18,-0.03771897113681172
sample_19,0.015984669348994673
sample_20,0.5587435399727914
