"",actual_y,error_of_y(actual_y-estimated_y)
sample_1,3.962457914,-0.09561112049964926
sample_2,4.957531646,0.43124065969479375
sample_3,3.761157692,0.224578108352266
sample_4,5.135731947,0.001584983187441047
sample_5,5.353029989,-0.0018111363884694143
sample_6,1.470305703,0.0060426324917857155
sample_7,5.284255841,0.24604769158094975
sample_8,-1.692795659,-0.004549866197426811
sample_9,0.318350522,0.2281298160994345
sample_10,7.595665777,0.0014286608251286026
sample_11,7.47676631,-0.0002951409069060773
sample_12,6.461214337,-0.607336137993479
sample_13,3.695214767,0.0017228898305052809
sample_14,1.795978781,-0.016805489759374348
sample_15,3.322269738,-0.00046392568630038156
sample_16,6.667143385,0.19853244107516854
sample_17,-0.075899232,-0.002856177319821643
sample_18,-0.964156105,0.3902082449014601
sample_19,5.215833992,0.18170413638231242
sample_20,5.902584574,0.5483065241436984
sample_21,3.252161534,-0.3772068692797128
sample_22,7.032785956,0.0003160746569319528
sample_23,4.439717308,0.0009645887714615498
sample_24,2.675372141,-0.00033367018589558484
sample_25,2.996892206,-0.18116373817758813
sample_26,-2.973772978,-0.3847038706871486
sample_27,1.85785316,0.41423834210758903
sample_28,2.165138123,-0.5144378977784108
sample_29,5.596916809,0.00012731172418600778
sample_30,3.389837945,-0.0023605922933307433
