"",actual_y,error_of_y(actual_y-estimated_y)
sample_1,1.701077682,0.07500817452679254
sample_2,1.384165099,-0.012969041376803325
sample_3,0.62991175,-0.05230081574290646
sample_4,1.153340482,0.03917951506937278
sample_5,0.863543316,0.022823199891459645
sample_6,0.697797054,0.06810062880269108
sample_7,1.216231803,0.13478512909226947
sample_8,0.997491993,0.11687748295407563
sample_9,1.418850602,-0.05720257176255461
sample_10,1.472972297,-0.0038545724886502875
sample_11,2.287695199,-0.02462370230361044
sample_12,1.193394553,0.02355795325979293
sample_13,1.625700387,-0.011991275353715691
sample_14,0.041967385,0.2874839030952177
sample_15,2.011389451,-0.018276192371622813
sample_16,2.784023518,0.10799589667408993
sample_17,0.880751278,-0.12176820649907483
sample_18,1.18160239,-0.06779991946282404
sample_19,0.943150314,-0.020756491104455876
sample_20,1.859425165,-0.06805948865875
sample_21,1.57061291,0.014150174551933237
sample_22,1.234014865,-0.009015560711119308
sample_23,1.007223894,-0.027950631555710093
sample_24,1.376971301,0.004629861340163188
sample_25,1.017290356,-0.033384644892410664
sample_26,1.628854711,0.06979827420296814
sample_27,0.999949726,-0.011466879564615673
sample_28,2.550585595,0.09703030949492408
sample_29,0.673947172,-0.03504501076612476
sample_30,2.612969356,-0.06721661019342662
