"",actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,1.701077682,1.700701291554129,0.0003763904458709
sample_2,1.384165099,1.3859502714034182,-0.0017851724034181338
sample_3,0.62991175,0.6342157778897903,-0.004304027889790341
sample_4,1.153340482,1.1471631593932217,0.006177322606778279
sample_5,0.863543316,0.859646246294262,0.003897069705737999
sample_6,0.697797054,0.6945240629195181,0.0032729910804819573
sample_7,1.216231803,1.2122856040226417,0.003946198977358151
sample_8,0.997491993,0.9972458067526913,0.00024618624730876615
sample_9,1.418850602,1.4195260668195864,-0.0006754648195863577
sample_10,1.472972297,1.4735824015886791,-0.0006101045886790502
sample_11,2.287695199,2.2890167653584115,-0.00132156635841163
sample_12,1.193394553,1.1927637661718178,0.0006307868281822948
sample_13,1.625700387,1.6273536154970036,-0.001653228497003667
sample_14,0.041967385,0.041281433469942064,0.0006859515300579391
sample_15,2.011389451,2.0104977846027268,0.0008916663972731165
sample_16,2.784023518,2.7802754885363954,0.0037480294636047518
sample_17,0.880751278,0.8822954397235419,-0.0015441617235418814
sample_18,1.18160239,1.1823710061156176,-0.0007686161156177373
sample_19,0.943150314,0.9500104276423527,-0.0068601136423526166
sample_20,1.859425165,1.8621443313165948,-0.0027191663165948565
sample_21,1.57061291,1.5704281884316185,0.00018472156838145182
sample_22,1.234014865,1.2334219731856542,0.0005928918143458528
sample_23,1.007223894,1.0083141199285677,-0.0010902259285676674
sample_24,1.376971301,1.3753297344132167,0.0016415665867832718
sample_25,1.017290356,1.0175866127360211,-0.0002962567360211832
sample_26,1.628854711,1.6283050745487704,0.0005496364512296292
sample_27,0.999949726,0.9998006583206497,0.00014906767935030096
sample_28,2.550585595,2.54959134635148,0.0009942486485199353
sample_29,0.673947172,0.6758522380683845,-0.0019050660683844756
sample_30,2.612969356,2.6153563036163856,-0.002386947616385804
