,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,1.701077682,1.7007012915540936,0.0003763904459064271,0.01359157753014555
sample_2,1.384165099,1.3859502714034537,-0.001785172403453661,0.013029774177414284
sample_3,0.62991175,0.6342157778896482,-0.004304027889648232,0.013482583228651318
sample_4,1.153340482,1.1471631593931861,0.0061773226068138065,0.012925211593805752
sample_5,0.863543316,0.8596462462942265,0.003897069705773526,0.012660308199536088
sample_6,0.697797054,0.6945240629195537,0.003272991080446319,0.013404979456473044
sample_7,1.216231803,1.2122856040225884,0.003946198977411441,0.01350853054310392
sample_8,0.997491993,0.9972458067527269,0.000246186247273128,0.013586097521507745
sample_9,1.418850602,1.4195260668195864,-0.0006754648195863577,0.013563135763315236
sample_10,1.472972297,1.4735824015886436,-0.000610104588643523,0.01333240446542176
sample_11,2.287695199,2.289016765358376,-0.0013215663583761028,0.013483888097809966
sample_12,1.193394553,1.1927637661717823,0.000630786828217822,0.01359025599173997
sample_13,1.625700387,1.6273536154970214,-0.0016532284970214306,0.013058680511148939
sample_14,0.041967385,0.041281433469888995,0.0006859515301110078,0.013596201519278862
sample_15,2.011389451,2.0104977846026912,0.0008916663973086436,0.013307565743603044
sample_16,2.784023518,2.780275488536377,0.0037480294636229594,0.013471020592110371
sample_17,0.880751278,0.8822954397235064,-0.0015441617235064653,0.013558397706040379
sample_18,1.18160239,1.1823710061155999,-0.0007686161155999738,0.013557221208723904
sample_19,0.943150314,0.9500104276422106,-0.006860113642210508,0.012687030331773394
sample_20,1.859425165,1.8621443313165416,-0.002719166316541566,0.013488317037218379
sample_21,1.57061291,1.5704281884315474,0.0001847215684525061,0.013521823316403442
sample_22,1.234014865,1.2334219731856186,0.0005928918143813799,0.013164036781685977
sample_23,1.007223894,1.0083141199285144,-0.0010902259285143767,0.013494532403446958
sample_24,1.376971301,1.3753297344131634,0.0016415665868365625,0.013247332373165546
sample_25,1.017290356,1.0175866127359856,-0.00029625673598565605,0.013494191578117853
sample_26,1.628854711,1.6283050745487704,0.0005496364512296292,0.013588742914438526
sample_27,0.999949726,0.9998006583205431,0.00014906767945688237,0.013156973565105572
sample_28,2.550585595,2.549591346351497,0.0009942486485026159,0.013553770331882868
sample_29,0.673947172,0.6758522380683668,-0.001905066068366823,0.013391337046835318
sample_30,2.612969356,2.6153563036161547,-0.0023869476161548775,0.01344867781704931
