actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0.125,0.2661052243247528,-0.1411052243247528
0.122,0.21130490084190573,-0.08930490084190573
0.624,0.5440355229466216,0.07996447705337839
0.042,-0.02092450205998908,0.06292450205998909
0.589,0.5580150740421104,0.030984925957889597
0.051,0.12650186523146392,-0.07550186523146393
0.771,0.6452248791979407,0.12577512080205933
0.775,0.6338875197852301,0.14111248021476996
0.219,0.33334062167829953,-0.11434062167829953
0.12,0.18742749839863526,-0.06742749839863527
0.066,0.06169872124097486,0.00430127875902514
0.037,0.057648254706268276,-0.020648254706268278
0.1,0.18166946613891993,-0.08166946613891993
0.161,0.019985622880729303,0.1410143771192707
0.773,0.6319856323470012,0.1410143676529988
0.087,0.10190964236131347,-0.01490964236131348
0.511,0.46310424876416634,0.04789575123583367
0.079,-0.003724141227702926,0.08272414122770293
0.043,0.049636674190215196,-0.0066366741902152
0.49,0.5022957412079943,-0.01229574120799426
