actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
0.771,0.6915735842268365,0.07942641577316356,0.10364479204753525
0.066,0.07246352167234874,-0.006463521672348732,0.09879338360820879
0.511,0.5334643248721448,-0.02246432487214478,0.10011831751306316
0.043,0.05961911378810164,-0.016619113788101644,0.10017721337623212
0.775,0.6607948550062934,0.1142051449937066,0.09793827638803071
0.49,0.5300267267946519,-0.04002672679465191,0.09769874066217364
0.161,0.07805427465857914,0.08294572534142086,0.10605329964782238
0.051,0.1473321900818406,-0.0963321900818406,0.09492243762625395
0.589,0.5635541373119459,0.025445862688054044,0.10442487507646873
0.624,0.5949762539719279,0.029023746028072117,0.09694141566869442
0.079,-0.013088725778777122,0.09208872577877712,0.097598551688612
0.12,0.21362251166080473,-0.09362251166080474,0.09419460776044342
0.219,0.3556252219946013,-0.13662522199460128,0.09713845811202362
0.042,-0.03345222049994795,0.07545222049994796,0.1000689220258309
0.122,0.20843423023864813,-0.08643423023864813,0.09478787633633393
