actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0.125,0.14586981352946649,-0.020869813529466485
0.122,0.1339598110109692,-0.011959811010969212
0.624,0.5507689965038516,0.07323100349614842
0.042,0.050785636084859226,-0.008785636084859223
0.589,0.8685609945352875,-0.2795609945352875
0.051,0.054132632157705585,-0.003132632157705588
0.771,0.7929818392813932,-0.02198183928139319
0.775,0.7351391867717763,0.03986081322822377
0.219,0.2343878426719414,-0.015387842671941404
0.12,0.08346816356584563,0.03653183643415436
0.066,0.04879344384731141,0.017206556152688596
0.037,0.05677458160162463,-0.01977458160162463
0.1,0.08314162923316515,0.016858370766834857
0.161,0.1595831662434899,0.0014168337565101108
0.773,0.8101721049540833,-0.037172104954083296
0.087,0.1518626511285869,-0.06486265112858691
0.511,0.5322901316507628,-0.021290131650762767
0.079,0.05457556865072091,0.024424431349279088
0.043,0.015590507033059586,0.02740949296694041
0.49,0.4576535569216654,0.032346443078334564
