actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0.771,0.577916779362745,0.19308322063725503
0.066,0.10106758687872111,-0.03506758687872111
0.511,0.48389784165789024,0.027102158342109772
0.043,0.07834955784944697,-0.035349557849446975
0.775,0.5541207511713989,0.2208792488286011
0.49,0.4548959282676301,0.0351040717323699
0.161,0.12595065572449515,0.03504934427550485
0.051,0.15018928677551996,-0.09918928677551997
0.589,0.4827717338004115,0.10622826619958847
0.624,0.5271010179092978,0.09689898209070225
0.079,0.017163259507827933,0.06183674049217207
0.12,0.2237321187505973,-0.10373211875059729
0.219,0.31710280204357527,-0.09810280204357527
0.042,0.016806940284589178,0.025193059715410825
0.122,0.20009363341604242,-0.07809363341604242
