actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0.125,0.28069001263806936,-0.15569001263806936
0.122,0.21347585268663427,-0.09147585268663427
0.624,0.5890291034843005,0.03497089651569951
0.042,-0.1115430194828132,0.1535430194828132
0.589,0.5158597652455125,0.0731402347544875
0.051,0.1343563898387436,-0.0833563898387436
0.771,0.7442928477578346,0.026707152242165466
0.775,0.6291852646586535,0.14581473534134648
0.219,0.3562908502931522,-0.13729085029315222
0.12,0.20948885847550597,-0.08948885847550597
0.066,0.08010132098454673,-0.014101320984546722
0.037,0.048236332904095514,-0.011236332904095515
0.1,0.1700921295519505,-0.07009212955195049
0.161,-0.05591743980284891,0.21691743980284892
0.773,0.67193296831191,0.10106703168809006
0.087,0.1109451296686528,-0.02394512966865281
0.511,0.5543925400582962,-0.04339254005829618
0.079,-0.0683546206704626,0.14735462067046262
0.043,0.006504909326207675,0.03649509067379232
0.49,0.563409680826691,-0.07340968082669097
