actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0.771,0.6266666666666666,0.14433333333333342
0.066,0.10033333333333333,-0.03433333333333333
0.511,0.6266666666666666,-0.11566666666666658
0.043,0.10033333333333333,-0.05733333333333333
0.775,0.6266666666666666,0.14833333333333343
0.49,0.6266666666666666,-0.1366666666666666
0.161,0.10033333333333333,0.060666666666666674
0.051,0.10033333333333333,-0.04933333333333333
0.589,0.6266666666666666,-0.037666666666666626
0.624,0.6266666666666666,-0.002666666666666595
0.079,0.10033333333333333,-0.02133333333333333
0.12,0.10033333333333333,0.019666666666666666
0.219,0.10033333333333333,0.11866666666666667
0.042,0.10033333333333333,-0.05833333333333333
0.122,0.10033333333333333,0.021666666666666667
