actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0.125,0.19442776640948572,-0.06942776640948572
0.122,0.17192886528121673,-0.04992886528121673
0.624,0.5974294913226958,0.02657050867730415
0.042,0.03386644502889308,0.008133554971106925
0.589,0.49412427289296773,0.09487572710703224
0.051,0.06638522129199989,-0.015385221291999894
0.771,0.667471456699354,0.10352854330064598
0.775,0.636203411598963,0.13879658840103704
0.219,0.2754358162478116,-0.056435816247811604
0.12,0.12021673326834625,-0.0002167332683462586
0.066,0.10690333693509604,-0.04090333693509604
0.037,0.02287382926860876,0.01412617073139124
0.1,0.09480383324734867,0.005196166752651332
0.161,0.1026344158004652,0.058365584199534803
0.773,0.6180486832349192,0.15495131676508078
0.087,0.11998524658566476,-0.03298524658566476
0.511,0.5282258916860989,-0.017225891686098893
0.079,0.05593708108192702,0.02306291891807298
0.043,0.041969188544752706,0.0010308114552472908
0.49,0.5713272496464571,-0.0813272496464571
