actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0.125,0.26430701234368975,-0.13930701234368975
0.122,0.20175487455106916,-0.07975487455106917
0.624,0.6025109256414249,0.021489074358575055
0.042,-0.07741153050669108,0.1194115305066911
0.589,0.5495605550739591,0.0394394449260409
0.051,0.1254349323659982,-0.07443493236599821
0.771,0.7294068262504878,0.04159317374951221
0.775,0.664256532470525,0.11074346752947506
0.219,0.32591200589937064,-0.10691200589937064
0.12,0.19840344864538648,-0.07840344864538648
0.066,0.06743272173756928,-0.0014327217375692813
0.037,0.04934375682895259,-0.012343756828952591
0.1,0.16300945941812978,-0.06300945941812977
0.161,0.04090982019067074,0.12009017980932926
0.773,0.7049843894519501,0.06801561054804994
0.087,0.0995327677621134,-0.0125327677621134
0.511,0.5386422636904202,-0.02764226369042022
0.079,-0.037718971136811996,0.116718971136812
0.043,0.015984669348994396,0.0270153306510056
0.49,0.5587435399727915,-0.06874353997279148
