,ocsvm_data_density
sample_1,0.03280634853192896
sample_2,0.00040619286595347526
sample_3,0.01736232291886461
sample_4,-0.00015661257144439222
sample_5,-5.2722680605937766e-05
sample_6,0.015388482712249074
sample_7,3.221216060458887e-05
sample_8,0.00014774000497255746
sample_9,-0.000214132735752659
sample_10,0.03225121750240875
sample_11,-0.00016076097191972116
sample_12,0.03278434252067636
sample_13,0.004821675758538202
sample_14,1.667925829565431e-05
sample_15,0.000292244067282843
sample_16,0.00030843826607757086
sample_17,-0.0002935726394657223
sample_18,-0.0004847265462538941
sample_19,3.221235770387021e-05
sample_20,0.00012680140087473202
